id,status,score,prioridade,nome,tipo,cidade,estado,telefone,whatsapp,email,email_estimado,email_confiança_%,site,instagram,facebook,youtube,endereco,avaliacao_google,num_avaliacoes,google_maps_url,descricao,notas,ultimo_contato,followups,fonte,criado_em
13,novo,5,Baixa,"Studio Felipe Farias, Centro de Treinamento Físico",desconhecido,Tubarão,SC,,,,Não,0,,,,,,,0,"https://www.google.com/maps/place/Studio+Felipe+Farias,+Centro+de+Treinamento+F%C3%ADsico/data=!4m7!3m6!1s0x9521419dbad62221:0xb1bf0384ba6cf2e0!8m2!3d-28.4252963!4d-49.0124378!16s%2Fg%2F11t5kw70_h!19sChIJISLWup1BIZUR4PJsuoQDv7E?authuser=0&hl=pt-BR&rclk=1",,,,0,maps_scraper,2026-04-08T03:43:51.344022
14,novo,5,Baixa,ACADEMIA CENTRAL FITNESS,desconhecido,Tubarão,SC,,,,Não,0,,,,,,,0,https://www.google.com/maps/place/ACADEMIA+CENTRAL+FITNESS/data=!4m7!3m6!1s0x952143fe3f8c0557:0x4c3186cdad0a79fc!8m2!3d-28.4780292!4d-49.0057182!16s%2Fg%2F11j3z4t8xj!19sChIJVwWMP_5DIZUR_HkKrc2GMUw?authuser=0&hl=pt-BR&rclk=1,,,,0,maps_scraper,2026-04-08T03:43:51.354503
15,novo,5,Baixa,Estúdio de Pilates Laís Fernandes,desconhecido,Tubarão,SC,,,,Não,0,,,,,,,0,https://www.google.com/maps/place/Est%C3%BAdio+de+Pilates+La%C3%ADs+Fernandes/data=!4m7!3m6!1s0x952143052c08d429:0xfdeb78f2838a4823!8m2!3d-28.4832252!4d-48.9945953!16s%2Fg%2F11yztnd16w!19sChIJKdQILAVDIZURI0iKg_J46_0?authuser=0&hl=pt-BR&rclk=1,,,,0,maps_scraper,2026-04-08T03:43:51.363596
16,novo,5,Baixa,Espaço Movva,desconhecido,Tubarão,SC,,,,Não,0,,,,,,,0,https://www.google.com/maps/place/Espa%C3%A7o+Movva/data=!4m7!3m6!1s0x952143bfd4a72ae7:0xd800adbcd9e0bdc7!8m2!3d-28.4413309!4d-49.0237417!16s%2Fg%2F11zk8lxdp8!19sChIJ5yqn1L9DIZURx73g2bytANg?authuser=0&hl=pt-BR&rclk=1,,,,0,maps_scraper,2026-04-08T03:43:51.376563
17,novo,5,Baixa,Academia BodyStation,desconhecido,Tubarão,SC,,,,Não,0,,,,,,,0,https://www.google.com/maps/place/Academia+BodyStation/data=!4m7!3m6!1s0x9521437a09235891:0x2182946a4f26f281!8m2!3d-28.4634639!4d-49.0150216!16s%2Fg%2F11jv3_16zj!19sChIJkVgjCXpDIZURgfImT2qUgiE?authuser=0&hl=pt-BR&rclk=1,,,,0,maps_scraper,2026-04-08T03:43:51.386543
18,novo,5,Baixa,Pilates Fernanda Andrade,desconhecido,Tubarão,SC,,,,Não,0,,,,,,,0,https://www.google.com/maps/place/Pilates+Fernanda+Andrade/data=!4m7!3m6!1s0x9521434301c20c25:0x8260b6743db9f46c!8m2!3d-28.4862845!4d-49.0140067!16s%2Fg%2F11vycdkj36!19sChIJJQzCAUNDIZURbPS5PXS2YII?authuser=0&hl=pt-BR&rclk=1,,,,0,maps_scraper,2026-04-08T03:43:51.396804
19,novo,5,Baixa,ATIV Studio Trainer / Academia de musculação,desconhecido,Tubarão,SC,,,,Não,0,,,,,,,0,https://www.google.com/maps/place/ATIV+Studio+Trainer+%2F+Academia+de+muscula%C3%A7%C3%A3o/data=!4m7!3m6!1s0x9521431f9cbfad75:0x57634f8c360b20a5!8m2!3d-28.4836782!4d-49.0119971!16s%2Fg%2F11w2mkspwp!19sChIJda2_nB9DIZURpSALNoxPY1c?authuser=0&hl=pt-BR&rclk=1,,,,0,maps_scraper,2026-04-08T03:43:51.408497
20,novo,5,Baixa,Box Zero Studio,desconhecido,Tubarão,SC,,,,Não,0,,,,,,,0,https://www.google.com/maps/place/Box+Zero+Studio/data=!4m7!3m6!1s0x9521430f58345b3b:0x1f32708f0fd4a180!8m2!3d-28.4699721!4d-49.011007!16s%2Fg%2F11hf8tzhw7!19sChIJO1s0WA9DIZURgKHUD49wMh8?authuser=0&hl=pt-BR&rclk=1,,,,0,maps_scraper,2026-04-08T03:43:51.419389
21,novo,5,Baixa,Shark Fit Academia,desconhecido,Tubarão,SC,,,,Não,0,,,,,,,0,https://www.google.com/maps/place/Shark+Fit+Academia/data=!4m7!3m6!1s0x952143e2a2782215:0xc4a5d600cdfff2a9!8m2!3d-28.4900713!4d-49.0001742!16s%2Fg%2F11p0vhzcdg!19sChIJFSJ4ouJDIZURqfL_zQDWpcQ?authuser=0&hl=pt-BR&rclk=1,,,,0,maps_scraper,2026-04-08T03:43:51.429420
22,novo,5,Baixa,Estúdio Vita Corpus,desconhecido,Tubarão,SC,,,,Não,0,,,,,,,0,https://www.google.com/maps/place/Est%C3%BAdio+Vita+Corpus/data=!4m7!3m6!1s0x952143032ce38c2f:0x5f06d9c75b443d54!8m2!3d-28.4776016!4d-48.998615!16s%2Fg%2F11f2gscs33!19sChIJL4zjLANDIZURVD1EW8fZBl8?authuser=0&hl=pt-BR&rclk=1,,,,0,maps_scraper,2026-04-08T03:43:51.439098
23,novo,5,Baixa,Corpo e Forma Academia em Tubarão,desconhecido,Tubarão,SC,,,,Não,0,,,,,,,0,https://www.google.com/maps/place/Corpo+e+Forma+Academia+em+Tubar%C3%A3o/data=!4m7!3m6!1s0x9521434399fa2fe1:0x83fbc8cd3b38994!8m2!3d-28.4836783!4d-49.0119971!16s%2Fg%2F11g2_hnjby!19sChIJ4S_6mUNDIZURlImz04y8Pwg?authuser=0&hl=pt-BR&rclk=1,,,,0,maps_scraper,2026-04-08T03:43:51.449338
24,novo,5,Baixa,Pilates em Tubarão - Monte Castelo | SR Pilates,desconhecido,Tubarão,SC,,,,Não,0,,,,,,,0,https://www.google.com/maps/place/Pilates+em+Tubar%C3%A3o+-+Monte+Castelo+%7C+SR+Pilates/data=!4m7!3m6!1s0x9521439782071277:0x3f9da5901bfea174!8m2!3d-28.4977725!4d-49.0287139!16s%2Fg%2F11g0h4yft3!19sChIJdxIHgpdDIZURdKH-G5ClnT8?authuser=0&hl=pt-BR&rclk=1,,,,0,maps_scraper,2026-04-08T03:43:51.461261
25,novo,5,Baixa,Studio Fit,desconhecido,Tubarão,SC,,,,Não,0,,,,,,,0,https://www.google.com/maps/place/Studio+Fit/data=!4m7!3m6!1s0x952142e8ffc0f961:0x80da9f6cdfad35e6!8m2!3d-28.4907219!4d-49.0136519!16s%2Fg%2F11j4t6cbh0!19sChIJYfnA_-hCIZUR5jWt32yf2oA?authuser=0&hl=pt-BR&rclk=1,,,,0,maps_scraper,2026-04-08T03:43:51.470827
